Year,State,Delegates,Party,Candidate,PropEC
1984,Alabama,9,R,Ronald Reagan,12
1984,Alaska,3,R,Ronald Reagan,3
1984,Arizona,7,R,Ronald Reagan,9
1984,Arkansas,6,R,Ronald Reagan,8
1984,California,47,R,Ronald Reagan,61
1984,Colorado,8,R,Ronald Reagan,9
1984,Connecticut,8,R,Ronald Reagan,10
1984,Delaware,3,R,Ronald Reagan,3
1984,Florida,21,R,Ronald Reagan,26
1984,Georgia,12,R,Ronald Reagan,16
1984,Hawaii,4,R,Ronald Reagan,4
1984,Idaho,4,R,Ronald Reagan,4
1984,Illinois,24,R,Ronald Reagan,30
1984,Indiana,12,R,Ronald Reagan,16
1984,Iowa,8,R,Ronald Reagan,9
1984,Kansas,7,R,Ronald Reagan,8
1984,Kentucky,9,R,Ronald Reagan,11
1984,Louisiana,10,R,Ronald Reagan,12
1984,Maine,4,R,Ronald Reagan,5
1984,Maryland,10,R,Ronald Reagan,12
1984,Massachusetts,13,R,Ronald Reagan,16
1984,Michigan,20,R,Ronald Reagan,25
1984,Minnesota,10,D,Walter Mondale,12
1984,Mississippi,7,R,Ronald Reagan,8
1984,Missouri,11,R,Ronald Reagan,14
1984,Montana,4,R,Ronald Reagan,4
1984,Nebraska,5,R,Ronald Reagan,6
1984,Nevada,4,R,Ronald Reagan,4
1984,New Hampshire,4,R,Ronald Reagan,4
1984,New Jersey,16,R,Ronald Reagan,20
1984,New Mexico,5,R,Ronald Reagan,5
1984,New York,36,R,Ronald Reagan,46
1984,North Carolina,13,R,Ronald Reagan,17
1984,North Dakota,3,R,Ronald Reagan,4
1984,Ohio,23,R,Ronald Reagan,29
1984,Oklahoma,8,R,Ronald Reagan,10
1984,Oregon,7,R,Ronald Reagan,9
1984,Pennsylvania,25,R,Ronald Reagan,32
1984,Rhode Island,4,R,Ronald Reagan,4
1984,South Carolina,8,R,Ronald Reagan,10
1984,South Dakota,3,R,Ronald Reagan,4
1984,Tennessee,11,R,Ronald Reagan,13
1984,Texas,29,R,Ronald Reagan,37
1984,Utah,5,R,Ronald Reagan,6
1984,Vermont,3,R,Ronald Reagan,3
1984,Virginia,12,R,Ronald Reagan,15
1984,Washington,10,R,Ronald Reagan,12
1984,West Virginia,6,R,Ronald Reagan,7
1984,Wisconsin,11,R,Ronald Reagan,14
1984,Wyoming,3,R,Ronald Reagan,3
1984,Washington DC,3,D,Walter Mondale,3
