Year,State,Delegates,Party,Candidate,PropEC
2016,Alabama,9,R,Donald Trump,10
2016,Alaska,3,R,Donald Trump,3
2016,Arizona,11,R,Donald Trump,13
2016,Arkansas,6,R,Donald Trump,7
2016,California,55,D,Hillary Clinton,68
2016,Colorado,9,D,Hillary Clinton,11
2016,Connecticut,7,D,Hillary Clinton,8
2016,Delaware,3,D,Hillary Clinton,4
2016,Florida,29,R,Donald Trump,35
2016,Georgia,16,R,Donald Trump,19
2016,Hawaii,3,D,Hillary Clinton,4
2016,Idaho,4,R,Donald Trump,5
2016,Illinois,20,D,Hillary Clinton,25
2016,Indiana,11,R,Donald Trump,14
2016,Iowa,6,R,Donald Trump,7
2016,Kansas,6,R,Donald Trump,7
2016,Kentucky,8,R,Donald Trump,10
2016,Louisiana,8,R,Donald Trump,10
2016,Maine,2,D,Hillary Clinton,4
2016,Maine,1,D,Hillary Clinton,12
2016,Maine,1,R,Donald Trump,14
2016,Maryland,10,D,Hillary Clinton,20
2016,Massachusetts,11,D,Hillary Clinton,11
2016,Michigan,16,R,Donald Trump,7
2016,Minnesota,10,D,Hillary Clinton,13
2016,Mississippi,6,R,Donald Trump,4
2016,Missouri,10,R,Donald Trump,5
2016,Montana,3,R,Donald Trump,7
2016,Nebraska,2,R,Donald Trump,4
2016,Nebraska,1,R,Donald Trump,18
2016,Nebraska,1,R,Donald Trump,6
2016,Nebraska,1,R,Donald Trump,36
2016,Nevada,6,D,Hillary Clinton,19
2016,New Hampshire,4,D,Hillary Clinton,3
2016,New Jersey,14,D,Hillary Clinton,22
2016,New Mexico,5,D,Hillary Clinton,9
2016,New York,29,D,Hillary Clinton,9
2016,North Carolina,15,R,Donald Trump,25
2016,North Dakota,3,R,Donald Trump,4
2016,Ohio,18,R,Donald Trump,10
2016,Oklahoma,7,R,Donald Trump,3
2016,Oregon,7,D,Hillary Clinton,13
2016,Pennsylvania,20,R,Donald Trump,47
2016,Rhode Island,4,D,Hillary Clinton,7
2016,South Carolina,9,R,Donald Trump,3
2016,South Dakota,3,R,Donald Trump,16
2016,Tennessee,11,R,Donald Trump,14
2016,Texas,36,R,Donald Trump,5
2016,Utah,6,R,Donald Trump,12
2016,Vermont,3,D,Hillary Clinton,3
2016,Virginia,13,D,Hillary Clinton,3
2016,Washington,8,D,Hillary Clinton,0
2016,West Virginia,5,R,Donald Trump,0
2016,Wisconsin,10,R,Donald Trump,0
2016,Wyoming,3,R,Donald Trump,0
2016,Washington DC,3,D,Hillary Clinton,0
