Year,State,Delegates,Party,Candidate,PropEC
1968,Alabama,10,I,George Wallace,16
1968,Alaska,3,R,Richard Nixon,3
1968,Arizona,5,R,Richard Nixon,8
1968,Arkansas,6,I,George Wallace,10
1968,California,40,R,Richard Nixon,71
1968,Colorado,6,R,Richard Nixon,10
1968,Connecticut,8,D,Hubert Humphrey,13
1968,Delaware,3,R,Richard Nixon,4
1968,Florida,14,R,Richard Nixon,24
1968,Georgia,12,I,George Wallace,19
1968,Hawaii,4,D,Hubert Humphrey,5
1968,Idaho,4,R,Richard Nixon,5
1968,Illinois,26,R,Richard Nixon,47
1968,Indiana,13,R,Richard Nixon,23
1968,Iowa,9,R,Richard Nixon,14
1968,Kansas,7,R,Richard Nixon,12
1968,Kentucky,9,R,Richard Nixon,15
1968,Louisiana,10,I,George Wallace,16
1968,Maine,4,D,Hubert Humphrey,6
1968,Maryland,10,D,Hubert Humphrey,16
1968,Massachusetts,14,D,Hubert Humphrey,25
1968,Michigan,21,D,Hubert Humphrey,37
1968,Minnesota,10,D,Hubert Humphrey,17
1968,Mississippi,7,I,George Wallace,12
1968,Missouri,12,R,Richard Nixon,21
1968,Montana,4,R,Richard Nixon,5
1968,Nebraska,5,R,Richard Nixon,8
1968,Nevada,3,R,Richard Nixon,3
1968,New Hampshire,4,R,Richard Nixon,5
1968,New Jersey,17,R,Richard Nixon,29
1968,New Mexico,4,R,Richard Nixon,6
1968,New York,43,D,Hubert Humphrey,76
1968,North Carolina,1,I,George Wallace,22
1968,North Carolina,12,R,Richard Nixon,5
1968,North Dakota,4,R,Richard Nixon,45
1968,Ohio,26,R,Richard Nixon,12
1968,Oklahoma,8,R,Richard Nixon,10
1968,Oregon,6,R,Richard Nixon,52
1968,Pennsylvania,29,D,Hubert Humphrey,6
1968,Rhode Island,4,D,Hubert Humphrey,13
1968,South Carolina,8,R,Richard Nixon,5
1968,South Dakota,4,R,Richard Nixon,18
1968,Tennessee,11,R,Richard Nixon,44
1968,Texas,25,D,Hubert Humphrey,6
1968,Utah,4,R,Richard Nixon,4
1968,Vermont,3,R,Richard Nixon,19
1968,Virginia,12,R,Richard Nixon,15
1968,Washington,9,D,Hubert Humphrey,10
1968,West Virginia,7,D,Hubert Humphrey,20
1968,Wisconsin,12,R,Richard Nixon,3
1968,Wyoming,3,R,Richard Nixon,3
1968,Washington DC,3,D,Hubert Humphrey,13
