Year,State,Delegates,Party,Candidate,PropEC
2020,Alabama,9,R,Donald Trump,10
2020,Alaska,3,R,Donald Trump,3
2020,Arizona,11,D,Joe Biden,13
2020,Arkansas,6,R,Donald Trump,7
2020,California,55,D,Joe Biden,68
2020,Colorado,9,D,Joe Biden,11
2020,Connecticut,7,D,Joe Biden,8
2020,Delaware,3,D,Joe Biden,4
2020,Florida,29,R,Donald Trump,35
2020,Georgia,16,D,Joe Biden,19
2020,Hawaii,4,D,Joe Biden,4
2020,Idaho,4,R,Donald Trump,5
2020,Illinois,20,D,Joe Biden,25
2020,Indiana,11,R,Donald Trump,14
2020,Iowa,6,R,Donald Trump,7
2020,Kansas,6,R,Donald Trump,7
2020,Kentucky,8,R,Donald Trump,10
2020,Louisiana,8,R,Donald Trump,10
2020,Maine,2,D,Joe Biden,4
2020,Maine,1,D,Joe Biden,12
2020,Maine,1,R,Donald Trump,14
2020,Maryland,10,D,Joe Biden,20
2020,Massachusetts,11,D,Joe Biden,11
2020,Michigan,16,D,Joe Biden,7
2020,Minnesota,10,D,Joe Biden,13
2020,Mississippi,6,R,Donald Trump,4
2020,Missouri,10,R,Donald Trump,5
2020,Montana,3,R,Donald Trump,7
2020,Nebraska,2,R,Donald Trump,4
2020,Nebraska,1,R,Donald Trump,18
2020,Nebraska,1,D,Joe Biden,6
2020,Nebraska,1,R,Donald Trump,36
2020,Nevada,6,D,Joe Biden,19
2020,New Hampshire,4,D,Joe Biden,3
2020,New Jersey,14,D,Joe Biden,22
2020,New Mexico,5,D,Joe Biden,9
2020,New York,29,D,Joe Biden,9
2020,North Carolina,15,R,Donald Trump,25
2020,North Dakota,3,R,Donald Trump,4
2020,Ohio,18,R,Donald Trump,10
2020,Oklahoma,7,R,Donald Trump,3
2020,Oregon,7,D,Joe Biden,13
2020,Pennsylvania,20,D,Joe Biden,47
2020,Rhode Island,4,D,Joe Biden,7
2020,South Carolina,9,R,Donald Trump,3
2020,South Dakota,3,R,Donald Trump,16
2020,Tennessee,11,R,Donald Trump,14
2020,Texas,38,R,Donald Trump,5
2020,Utah,6,R,Donald Trump,12
2020,Vermont,3,D,Joe Biden,3
2020,Virginia,13,D,Joe Biden,3
2020,Washington,12,D,Joe Biden,0
2020,West Virginia,5,R,Donald Trump,0
2020,Wisconsin,10,D,Joe Biden,0
2020,Wyoming,3,R,Donald Trump,0
2020,Washington DC,3,D,Joe Biden,0
