Year,State,Delegates,Party,Candidate,PropEC
2012,Alabama,9,R,Mitt Romney,10
2012,Alaska,3,R,Mitt Romney,3
2012,Arizona,11,R,Mitt Romney,13
2012,Arkansas,6,R,Mitt Romney,7
2012,California,55,D,Barack Obama,68
2012,Colorado,9,D,Barack Obama,11
2012,Connecticut,7,D,Barack Obama,8
2012,Delaware,3,D,Barack Obama,4
2012,Florida,29,D,Barack Obama,35
2012,Georgia,16,R,Mitt Romney,19
2012,Hawaii,4,D,Barack Obama,4
2012,Idaho,4,R,Mitt Romney,5
2012,Illinois,20,D,Barack Obama,25
2012,Indiana,11,R,Mitt Romney,14
2012,Iowa,6,D,Barack Obama,7
2012,Kansas,6,R,Mitt Romney,7
2012,Kentucky,8,R,Mitt Romney,10
2012,Louisiana,8,R,Mitt Romney,10
2012,Maine,2,D,Barack Obama,4
2012,Maine,1,D,Barack Obama,12
2012,Maine,1,D,Barack Obama,14
2012,Maryland,10,D,Barack Obama,20
2012,Massachusetts,11,D,Barack Obama,11
2012,Michigan,16,D,Barack Obama,7
2012,Minnesota,10,D,Barack Obama,13
2012,Mississippi,6,R,Mitt Romney,4
2012,Missouri,10,R,Mitt Romney,5
2012,Montana,3,R,Mitt Romney,7
2012,Nebraska,2,R,Mitt Romney,4
2012,Nebraska,1,R,Mitt Romney,18
2012,Nebraska,1,R,Mitt Romney,6
2012,Nebraska,1,R,Mitt Romney,36
2012,Nevada,6,D,Barack Obama,19
2012,New Hampshire,4,D,Barack Obama,3
2012,New Jersey,14,D,Barack Obama,22
2012,New Mexico,5,D,Barack Obama,9
2012,New York,29,D,Barack Obama,9
2012,North Carolina,15,R,Mitt Romney,25
2012,North Dakota,3,R,Mitt Romney,4
2012,Ohio,18,D,Barack Obama,10
2012,Oklahoma,7,R,Mitt Romney,3
2012,Oregon,7,D,Barack Obama,13
2012,Pennsylvania,20,D,Barack Obama,47
2012,Rhode Island,4,D,Barack Obama,7
2012,South Carolina,9,R,Mitt Romney,3
2012,South Dakota,3,R,Mitt Romney,16
2012,Tennessee,11,R,Mitt Romney,14
2012,Texas,38,R,Mitt Romney,5
2012,Utah,6,R,Mitt Romney,12
2012,Vermont,3,D,Barack Obama,3
2012,Virginia,13,D,Barack Obama,3
2012,Washington,12,D,Barack Obama,0
2012,West Virginia,5,R,Mitt Romney,0
2012,Wisconsin,10,D,Barack Obama,0
2012,Wyoming,3,R,Mitt Romney,0
2012,Washington DC,3,D,Barack Obama,0
