Year,State,Delegates,Party,Candidate,PropEC
2000,Alabama,9,R,George W. Bush,11
2000,Alaska,3,R,George W. Bush,3
2000,Arizona,8,R,George W. Bush,10
2000,Arkansas,6,R,George W. Bush,7
2000,California,54,D,Al Gore,68
2000,Colorado,8,R,George W. Bush,9
2000,Connecticut,8,D,Al Gore,9
2000,Delaware,3,D,Al Gore,3
2000,Florida,25,R,George W. Bush,31
2000,Georgia,13,R,George W. Bush,16
2000,Hawaii,4,D,Al Gore,4
2000,Idaho,4,R,George W. Bush,4
2000,Illinois,22,D,Al Gore,27
2000,Indiana,12,R,George W. Bush,14
2000,Iowa,7,D,Al Gore,8
2000,Kansas,6,R,George W. Bush,7
2000,Kentucky,8,R,George W. Bush,10
2000,Louisiana,9,R,George W. Bush,11
2000,Maine,4,D,Al Gore,5
2000,Maryland,10,D,Al Gore,13
2000,Massachusetts,12,D,Al Gore,15
2000,Michigan,18,D,Al Gore,22
2000,Minnesota,10,D,Al Gore,12
2000,Mississippi,7,R,George W. Bush,8
2000,Missouri,11,R,George W. Bush,13
2000,Montana,3,R,George W. Bush,4
2000,Nebraska,5,R,George W. Bush,5
2000,Nevada,4,R,George W. Bush,5
2000,New Hampshire,4,R,George W. Bush,4
2000,New Jersey,15,D,Al Gore,19
2000,New Mexico,5,D,Al Gore,5
2000,New York,33,D,Al Gore,42
2000,North Carolina,14,R,George W. Bush,17
2000,North Dakota,3,R,George W. Bush,3
2000,Ohio,21,R,George W. Bush,26
2000,Oklahoma,8,R,George W. Bush,9
2000,Oregon,7,D,Al Gore,8
2000,Pennsylvania,23,D,Al Gore,28
2000,Rhode Island,4,D,Al Gore,4
2000,South Carolina,8,R,George W. Bush,10
2000,South Dakota,3,R,George W. Bush,4
2000,Tennessee,11,R,George W. Bush,13
2000,Texas,32,R,George W. Bush,39
2000,Utah,5,R,George W. Bush,6
2000,Vermont,3,D,Al Gore,3
2000,Virginia,13,R,George W. Bush,16
2000,Washington,11,D,Al Gore,13
2000,West Virginia,5,R,George W. Bush,6
2000,Wisconsin,11,D,Al Gore,13
2000,Wyoming,3,R,George W. Bush,3
2000,Washington DC,3,D,Al Gore,3
