Year,State,Delegates,Party,Candidate,PropEC
1964,Alabama,10,R,Barry Goldwater,16
1964,Alaska,3,D,Lyndon Johnson,3
1964,Arizona,5,R,Barry Goldwater,8
1964,Arkansas,6,D,Lyndon Johnson,10
1964,California,40,D,Lyndon Johnson,71
1964,Colorado,6,D,Lyndon Johnson,10
1964,Connecticut,8,D,Lyndon Johnson,13
1964,Delaware,3,D,Lyndon Johnson,4
1964,Florida,14,D,Lyndon Johnson,24
1964,Georgia,12,R,Barry Goldwater,19
1964,Hawaii,4,D,Lyndon Johnson,5
1964,Idaho,4,D,Lyndon Johnson,5
1964,Illinois,26,D,Lyndon Johnson,47
1964,Indiana,13,D,Lyndon Johnson,23
1964,Iowa,9,D,Lyndon Johnson,14
1964,Kansas,7,D,Lyndon Johnson,12
1964,Kentucky,9,D,Lyndon Johnson,15
1964,Louisiana,10,R,Barry Goldwater,16
1964,Maine,4,D,Lyndon Johnson,6
1964,Maryland,10,D,Lyndon Johnson,16
1964,Massachusetts,14,D,Lyndon Johnson,25
1964,Michigan,21,D,Lyndon Johnson,37
1964,Minnesota,10,D,Lyndon Johnson,17
1964,Mississippi,7,R,Barry Goldwater,12
1964,Missouri,12,D,Lyndon Johnson,21
1964,Montana,4,D,Lyndon Johnson,5
1964,Nebraska,5,D,Lyndon Johnson,8
1964,Nevada,3,D,Lyndon Johnson,3
1964,New Hampshire,4,D,Lyndon Johnson,5
1964,New Jersey,17,D,Lyndon Johnson,29
1964,New Mexico,4,D,Lyndon Johnson,6
1964,New York,43,D,Lyndon Johnson,76
1964,North Carolina,13,D,Lyndon Johnson,22
1964,North Dakota,4,D,Lyndon Johnson,5
1964,Ohio,26,D,Lyndon Johnson,45
1964,Oklahoma,8,D,Lyndon Johnson,12
1964,Oregon,6,D,Lyndon Johnson,10
1964,Pennsylvania,29,D,Lyndon Johnson,52
1964,Rhode Island,4,D,Lyndon Johnson,6
1964,South Carolina,8,R,Barry Goldwater,13
1964,South Dakota,4,D,Lyndon Johnson,5
1964,Tennessee,11,D,Lyndon Johnson,18
1964,Texas,25,D,Lyndon Johnson,44
1964,Utah,4,D,Lyndon Johnson,6
1964,Vermont,3,D,Lyndon Johnson,4
1964,Virginia,12,D,Lyndon Johnson,19
1964,Washington,9,D,Lyndon Johnson,15
1964,West Virginia,7,D,Lyndon Johnson,10
1964,Wisconsin,12,D,Lyndon Johnson,20
1964,Wyoming,3,D,Lyndon Johnson,3
1964,Washington DC,3,D,Lyndon Johnson,3
