Year,State,Delegates,Party,Candidate,PropEC
2004,Alabama,9,R,George W. Bush,11
2004,Alaska,3,R,George W. Bush,3
2004,Arizona,10,R,George W. Bush,12
2004,Arkansas,6,R,George W. Bush,7
2004,California,55,D,John Kerry,71
2004,Colorado,9,R,George W. Bush,11
2004,Connecticut,7,D,John Kerry,9
2004,Delaware,3,D,John Kerry,4
2004,Florida,27,R,George W. Bush,34
2004,Georgia,15,R,George W. Bush,19
2004,Hawaii,4,D,John Kerry,4
2004,Idaho,4,R,George W. Bush,5
2004,Illinois,21,D,John Kerry,27
2004,Indiana,11,R,George W. Bush,14
2004,Iowa,7,R,George W. Bush,8
2004,Kansas,6,R,George W. Bush,7
2004,Kentucky,8,R,George W. Bush,10
2004,Louisiana,9,R,George W. Bush,11
2004,Maine,4,D,John Kerry,5
2004,Maryland,10,D,John Kerry,13
2004,Massachusetts,12,D,John Kerry,15
2004,Michigan,17,D,John Kerry,22
2004,Minnesota,10,D,John Kerry,12
2004,Mississippi,6,R,George W. Bush,8
2004,Missouri,11,R,George W. Bush,13
2004,Montana,3,R,George W. Bush,4
2004,Nebraska,5,R,George W. Bush,5
2004,Nevada,5,R,George W. Bush,6
2004,New Hampshire,4,D,John Kerry,5
2004,New Jersey,15,D,John Kerry,19
2004,New Mexico,5,R,George W. Bush,6
2004,New York,31,D,John Kerry,40
2004,North Carolina,15,R,George W. Bush,18
2004,North Dakota,3,R,George W. Bush,3
2004,Ohio,20,R,George W. Bush,25
2004,Oklahoma,7,R,George W. Bush,9
2004,Oregon,7,D,John Kerry,9
2004,Pennsylvania,21,D,John Kerry,27
2004,Rhode Island,4,D,John Kerry,4
2004,South Carolina,8,R,George W. Bush,10
2004,South Dakota,3,R,George W. Bush,4
2004,Tennessee,11,R,George W. Bush,14
2004,Texas,34,R,George W. Bush,44
2004,Utah,5,R,George W. Bush,7
2004,Vermont,3,D,John Kerry,3
2004,Virginia,13,R,George W. Bush,16
2004,Washington,11,D,John Kerry,14
2004,West Virginia,5,R,George W. Bush,6
2004,Wisconsin,10,D,John Kerry,13
2004,Wyoming,3,R,George W. Bush,3
2004,Washington DC,3,D,John Kerry,3
