Year,State,Delegates,Party,Candidate,PropEC
1972,Alabama,10,R,Richard Nixon,13
1972,Alaska,3,R,Richard Nixon,3
1972,Arizona,5,R,Richard Nixon,8
1972,Arkansas,6,R,Richard Nixon,8
1972,California,40,R,Richard Nixon,68
1972,Colorado,6,R,Richard Nixon,9
1972,Connecticut,8,R,Richard Nixon,12
1972,Delaware,3,R,Richard Nixon,4
1972,Florida,14,R,Richard Nixon,25
1972,Georgia,12,R,Richard Nixon,17
1972,Hawaii,4,R,Richard Nixon,5
1972,Idaho,4,R,Richard Nixon,4
1972,Illinois,26,R,Richard Nixon,39
1972,Indiana,13,R,Richard Nixon,19
1972,Iowa,9,R,Richard Nixon,11
1972,Kansas,7,R,Richard Nixon,9
1972,Kentucky,9,R,Richard Nixon,13
1972,Louisiana,10,R,Richard Nixon,14
1972,Maine,4,R,Richard Nixon,5
1972,Maryland,10,R,Richard Nixon,15
1972,Massachusetts,14,D,George McGovern,21
1972,Michigan,21,R,Richard Nixon,31
1972,Minnesota,10,R,Richard Nixon,15
1972,Mississippi,7,R,Richard Nixon,9
1972,Missouri,12,R,Richard Nixon,18
1972,Montana,4,R,Richard Nixon,4
1972,Nebraska,5,R,Richard Nixon,7
1972,Nevada,3,R,Richard Nixon,4
1972,New Hampshire,4,R,Richard Nixon,4
1972,New Jersey,17,R,Richard Nixon,26
1972,New Mexico,4,R,Richard Nixon,5
1972,New York,43,R,Richard Nixon,62
1972,North Carolina,13,R,Richard Nixon,19
1972,North Dakota,4,R,Richard Nixon,4
1972,Ohio,26,R,Richard Nixon,37
1972,Oklahoma,8,R,Richard Nixon,11
1972,Oregon,6,R,Richard Nixon,9
1972,Pennsylvania,29,R,Richard Nixon,41
1972,Rhode Island,4,R,Richard Nixon,5
1972,South Carolina,8,R,Richard Nixon,11
1972,South Dakota,4,R,Richard Nixon,4
1972,Tennessee,11,R,Richard Nixon,15
1972,Texas,25,R,Richard Nixon,39
1972,Utah,4,R,Richard Nixon,6
1972,Vermont,3,R,Richard Nixon,3
1972,Virginia,1,I,John Hospers,17
1972,Virginia,11,R,Richard Nixon,13
1972,Washington,9,R,Richard Nixon,8
1972,West Virginia,7,R,Richard Nixon,17
1972,Wisconsin,12,R,Richard Nixon,3
1972,Wyoming,3,R,Richard Nixon,3
1972,Washington DC,3,D,George McGovern,12
