Year,State,Delegates,Party,Candidate,PropEC
1992,Alabama,9,R,George H. W. Bush,11
1992,Alaska,3,R,George H. W. Bush,3
1992,Arizona,8,R,George H. W. Bush,10
1992,Arkansas,6,D,Bill Clinton,7
1992,California,54,D,Bill Clinton,68
1992,Colorado,8,D,Bill Clinton,9
1992,Connecticut,8,D,Bill Clinton,9
1992,Delaware,3,D,Bill Clinton,3
1992,Florida,25,R,George H. W. Bush,31
1992,Georgia,13,D,Bill Clinton,16
1992,Hawaii,4,D,Bill Clinton,4
1992,Idaho,4,R,George H. W. Bush,4
1992,Illinois,22,D,Bill Clinton,27
1992,Indiana,12,R,George H. W. Bush,14
1992,Iowa,7,D,Bill Clinton,8
1992,Kansas,6,R,George H. W. Bush,7
1992,Kentucky,8,D,Bill Clinton,10
1992,Louisiana,9,D,Bill Clinton,11
1992,Maine,4,D,Bill Clinton,5
1992,Maryland,10,D,Bill Clinton,13
1992,Massachusetts,12,D,Bill Clinton,15
1992,Michigan,18,D,Bill Clinton,22
1992,Minnesota,10,D,Bill Clinton,12
1992,Mississippi,7,R,George H. W. Bush,8
1992,Missouri,11,D,Bill Clinton,13
1992,Montana,3,D,Bill Clinton,4
1992,Nebraska,5,R,George H. W. Bush,5
1992,Nevada,4,D,Bill Clinton,5
1992,New Hampshire,4,D,Bill Clinton,4
1992,New Jersey,15,D,Bill Clinton,19
1992,New Mexico,5,D,Bill Clinton,5
1992,New York,33,D,Bill Clinton,42
1992,North Carolina,14,R,George H. W. Bush,17
1992,North Dakota,3,R,George H. W. Bush,3
1992,Ohio,21,D,Bill Clinton,26
1992,Oklahoma,8,R,George H. W. Bush,9
1992,Oregon,7,D,Bill Clinton,8
1992,Pennsylvania,23,D,Bill Clinton,28
1992,Rhode Island,4,D,Bill Clinton,4
1992,South Carolina,8,R,George H. W. Bush,10
1992,South Dakota,3,R,George H. W. Bush,4
1992,Tennessee,11,D,Bill Clinton,13
1992,Texas,32,R,George H. W. Bush,39
1992,Utah,5,R,George H. W. Bush,6
1992,Vermont,3,D,Bill Clinton,3
1992,Virginia,13,R,George H. W. Bush,16
1992,Washington,11,D,Bill Clinton,13
1992,West Virginia,5,D,Bill Clinton,6
1992,Wisconsin,11,D,Bill Clinton,13
1992,Wyoming,3,R,George H. W. Bush,3
1992,Washington DC,3,D,Bill Clinton,3
