Year,State,Delegates,Party,Candidate,PropEC
1960,Alabama,1,I,Harry Byrd,16
1960,Alabama,5,D,John Kennedy,3
1960,Alaska,3,R,Richard Nixon,8
1960,Arizona,4,R,Richard Nixon,10
1960,Arkansas,8,D,John Kennedy,71
1960,California,32,R,Richard Nixon,10
1960,Colorado,6,R,Richard Nixon,13
1960,Connecticut,8,D,John Kennedy,4
1960,Delaware,3,D,John Kennedy,24
1960,Florida,10,R,Richard Nixon,19
1960,Georgia,12,D,John Kennedy,5
1960,Hawaii,3,D,John Kennedy,5
1960,Idaho,4,R,Richard Nixon,47
1960,Illinois,27,D,John Kennedy,23
1960,Indiana,13,R,Richard Nixon,14
1960,Iowa,10,R,Richard Nixon,12
1960,Kansas,8,R,Richard Nixon,15
1960,Kentucky,10,R,Richard Nixon,16
1960,Louisiana,10,D,John Kennedy,6
1960,Maine,5,D,John Kennedy,16
1960,Maryland,9,D,John Kennedy,25
1960,Massachusetts,16,D,John Kennedy,37
1960,Michigan,20,D,John Kennedy,17
1960,Minnesota,11,D,John Kennedy,12
1960,Mississippi,8,I,Harry Byrd,21
1960,Missouri,13,D,John Kennedy,5
1960,Montana,4,R,Richard Nixon,8
1960,Nebraska,6,R,Richard Nixon,3
1960,Nevada,3,D,John Kennedy,5
1960,New Hampshire,4,R,Richard Nixon,29
1960,New Jersey,16,D,John Kennedy,6
1960,New Mexico,4,D,John Kennedy,76
1960,New York,45,D,John Kennedy,22
1960,North Carolina,14,D,John Kennedy,5
1960,North Dakota,4,R,Richard Nixon,45
1960,Ohio,25,R,Richard Nixon,12
1960,Oklahoma,1,I,Harry Byrd,10
1960,Oklahoma,7,R,Richard Nixon,52
1960,Oregon,6,R,Richard Nixon,6
1960,Pennsylvania,32,D,John Kennedy,13
1960,Rhode Island,4,D,John Kennedy,5
1960,South Carolina,8,D,John Kennedy,18
1960,South Dakota,4,R,Richard Nixon,44
1960,Tennessee,11,R,Richard Nixon,6
1960,Texas,24,D,John Kennedy,4
1960,Utah,4,R,Richard Nixon,19
1960,Vermont,3,R,Richard Nixon,15
1960,Virginia,12,R,Richard Nixon,10
1960,Washington,9,R,Richard Nixon,20
1960,West Virginia,8,D,John Kennedy,3
1960,Wisconsin,12,R,Richard Nixon,3
1960,Wyoming,3,R,Richard Nixon,13
1960,Washington DC,0,-,-,3
