Year,State,Delegates,Party,Candidate,PropEC
1980,Alabama,9,R,Ronald Reagan,13
1980,Alaska,3,R,Ronald Reagan,3
1980,Arizona,6,R,Ronald Reagan,8
1980,Arkansas,6,R,Ronald Reagan,8
1980,California,45,R,Ronald Reagan,68
1980,Colorado,7,R,Ronald Reagan,9
1980,Connecticut,8,R,Ronald Reagan,12
1980,Delaware,3,R,Ronald Reagan,4
1980,Florida,17,R,Ronald Reagan,25
1980,Georgia,12,D,Jimmy Carter,17
1980,Hawaii,4,D,Jimmy Carter,5
1980,Idaho,4,R,Ronald Reagan,4
1980,Illinois,26,R,Ronald Reagan,39
1980,Indiana,13,R,Ronald Reagan,19
1980,Iowa,8,R,Ronald Reagan,11
1980,Kansas,7,R,Ronald Reagan,9
1980,Kentucky,9,R,Ronald Reagan,13
1980,Louisiana,10,R,Ronald Reagan,14
1980,Maine,4,R,Ronald Reagan,5
1980,Maryland,10,D,Jimmy Carter,15
1980,Massachusetts,14,R,Ronald Reagan,21
1980,Michigan,21,R,Ronald Reagan,31
1980,Minnesota,10,D,Jimmy Carter,15
1980,Mississippi,7,R,Ronald Reagan,9
1980,Missouri,12,R,Ronald Reagan,18
1980,Montana,4,R,Ronald Reagan,4
1980,Nebraska,5,R,Ronald Reagan,7
1980,Nevada,3,R,Ronald Reagan,4
1980,New Hampshire,4,R,Ronald Reagan,4
1980,New Jersey,17,R,Ronald Reagan,26
1980,New Mexico,4,R,Ronald Reagan,5
1980,New York,41,R,Ronald Reagan,62
1980,North Carolina,13,R,Ronald Reagan,19
1980,North Dakota,3,R,Ronald Reagan,4
1980,Ohio,25,R,Ronald Reagan,37
1980,Oklahoma,8,R,Ronald Reagan,11
1980,Oregon,6,R,Ronald Reagan,9
1980,Pennsylvania,27,R,Ronald Reagan,41
1980,Rhode Island,4,D,Jimmy Carter,5
1980,South Carolina,8,R,Ronald Reagan,11
1980,South Dakota,4,R,Ronald Reagan,4
1980,Tennessee,10,R,Ronald Reagan,15
1980,Texas,26,R,Ronald Reagan,39
1980,Utah,4,R,Ronald Reagan,6
1980,Vermont,3,R,Ronald Reagan,3
1980,Virginia,12,R,Ronald Reagan,17
1980,Washington,9,R,Ronald Reagan,13
1980,West Virginia,6,D,Jimmy Carter,8
1980,Wisconsin,11,R,Ronald Reagan,17
1980,Wyoming,3,R,Ronald Reagan,3
1980,Washington DC,3,D,Jimmy Carter,3
