Year,State,Delegates,Party,Candidate,PropEC
1996,Alabama,9,R,Bob Dole,11
1996,Alaska,3,R,Bob Dole,3
1996,Arizona,8,D,Bill Clinton,10
1996,Arkansas,6,D,Bill Clinton,7
1996,California,54,D,Bill Clinton,68
1996,Colorado,8,R,Bob Dole,9
1996,Connecticut,8,D,Bill Clinton,9
1996,Delaware,3,D,Bill Clinton,3
1996,Florida,25,D,Bill Clinton,31
1996,Georgia,13,R,Bob Dole,16
1996,Hawaii,4,D,Bill Clinton,4
1996,Idaho,4,R,Bob Dole,4
1996,Illinois,22,D,Bill Clinton,27
1996,Indiana,12,R,Bob Dole,14
1996,Iowa,7,D,Bill Clinton,8
1996,Kansas,6,R,Bob Dole,7
1996,Kentucky,8,R,Bob Dole,10
1996,Louisiana,9,D,Bill Clinton,11
1996,Maine,4,D,Bill Clinton,5
1996,Maryland,10,D,Bill Clinton,13
1996,Massachusetts,12,D,Bill Clinton,15
1996,Michigan,18,D,Bill Clinton,22
1996,Minnesota,10,D,Bill Clinton,12
1996,Mississippi,7,R,Bob Dole,8
1996,Missouri,11,D,Bill Clinton,13
1996,Montana,3,R,Bob Dole,4
1996,Nebraska,5,R,Bob Dole,5
1996,Nevada,4,D,Bill Clinton,5
1996,New Hampshire,4,D,Bill Clinton,4
1996,New Jersey,15,D,Bill Clinton,19
1996,New Mexico,5,D,Bill Clinton,5
1996,New York,33,D,Bill Clinton,42
1996,North Carolina,14,R,Bob Dole,17
1996,North Dakota,3,R,Bob Dole,3
1996,Ohio,21,D,Bill Clinton,26
1996,Oklahoma,8,R,Bob Dole,9
1996,Oregon,7,D,Bill Clinton,8
1996,Pennsylvania,23,D,Bill Clinton,28
1996,Rhode Island,4,D,Bill Clinton,4
1996,South Carolina,8,R,Bob Dole,10
1996,South Dakota,3,R,Bob Dole,4
1996,Tennessee,11,D,Bill Clinton,13
1996,Texas,32,R,Bob Dole,39
1996,Utah,5,R,Bob Dole,6
1996,Vermont,3,D,Bill Clinton,3
1996,Virginia,13,R,Bob Dole,16
1996,Washington,11,D,Bill Clinton,13
1996,West Virginia,5,D,Bill Clinton,6
1996,Wisconsin,11,D,Bill Clinton,13
1996,Wyoming,3,R,Bob Dole,3
1996,Washington DC,3,D,Bill Clinton,3
