Year,State,Delegates,Party,Candidate,PropEC
1976,Alabama,9,D,Jimmy Carter,13
1976,Alaska,3,R,Gerald Ford,3
1976,Arizona,6,R,Gerald Ford,8
1976,Arkansas,6,D,Jimmy Carter,8
1976,California,45,R,Gerald Ford,68
1976,Colorado,7,R,Gerald Ford,9
1976,Connecticut,8,R,Gerald Ford,12
1976,Delaware,3,D,Jimmy Carter,4
1976,Florida,17,D,Jimmy Carter,25
1976,Georgia,12,D,Jimmy Carter,17
1976,Hawaii,4,D,Jimmy Carter,5
1976,Idaho,4,R,Gerald Ford,4
1976,Illinois,26,R,Gerald Ford,39
1976,Indiana,13,R,Gerald Ford,19
1976,Iowa,8,R,Gerald Ford,11
1976,Kansas,7,R,Gerald Ford,9
1976,Kentucky,9,D,Jimmy Carter,13
1976,Louisiana,10,D,Jimmy Carter,14
1976,Maine,4,R,Gerald Ford,5
1976,Maryland,10,D,Jimmy Carter,15
1976,Massachusetts,14,D,Jimmy Carter,21
1976,Michigan,21,R,Gerald Ford,31
1976,Minnesota,10,D,Jimmy Carter,15
1976,Mississippi,7,D,Jimmy Carter,9
1976,Missouri,12,D,Jimmy Carter,18
1976,Montana,4,R,Gerald Ford,4
1976,Nebraska,5,R,Gerald Ford,7
1976,Nevada,3,R,Gerald Ford,4
1976,New Hampshire,4,R,Gerald Ford,4
1976,New Jersey,17,R,Gerald Ford,26
1976,New Mexico,4,R,Gerald Ford,5
1976,New York,41,D,Jimmy Carter,62
1976,North Carolina,13,D,Jimmy Carter,19
1976,North Dakota,3,R,Gerald Ford,4
1976,Ohio,25,D,Jimmy Carter,37
1976,Oklahoma,8,R,Gerald Ford,11
1976,Oregon,6,R,Gerald Ford,9
1976,Pennsylvania,27,D,Jimmy Carter,41
1976,Rhode Island,4,D,Jimmy Carter,5
1976,South Carolina,8,R,Gerald Ford,11
1976,South Dakota,4,R,Gerald Ford,4
1976,Tennessee,10,D,Jimmy Carter,15
1976,Texas,26,D,Jimmy Carter,39
1976,Utah,4,R,Gerald Ford,6
1976,Vermont,3,R,Gerald Ford,3
1976,Virginia,12,R,Gerald Ford,17
1976,Washington,1,R,Ronald Reagan,13
1976,Washington,8,R,Gerald Ford,8
1976,West Virginia,6,D,Jimmy Carter,17
1976,Wisconsin,11,D,Jimmy Carter,3
1976,Wyoming,3,R,Gerald Ford,3
1976,Washington DC,3,D,Jimmy Carter,12
