Year,State,Delegates,Party,Candidate,PropEC
2008,Alabama,9,R,John McCain,11
2008,Alaska,3,R,John McCain,3
2008,Arizona,10,R,John McCain,12
2008,Arkansas,6,R,John McCain,7
2008,California,55,D,Barack Obama,71
2008,Colorado,9,D,Barack Obama,11
2008,Connecticut,7,D,Barack Obama,9
2008,Delaware,3,D,Barack Obama,4
2008,Florida,27,D,Barack Obama,34
2008,Georgia,15,R,John McCain,19
2008,Hawaii,4,D,Barack Obama,4
2008,Idaho,4,R,John McCain,5
2008,Illinois,21,D,Barack Obama,27
2008,Indiana,11,D,Barack Obama,14
2008,Iowa,7,D,Barack Obama,8
2008,Kansas,6,R,John McCain,7
2008,Kentucky,8,R,John McCain,10
2008,Louisiana,9,R,John McCain,11
2008,Maine,2,D,Barack Obama,5
2008,Maine,1,D,Barack Obama,13
2008,Maine,1,D,Barack Obama,15
2008,Maryland,10,D,Barack Obama,22
2008,Massachusetts,12,D,Barack Obama,12
2008,Michigan,17,D,Barack Obama,8
2008,Minnesota,10,D,Barack Obama,13
2008,Mississippi,6,R,John McCain,4
2008,Missouri,11,R,John McCain,5
2008,Montana,3,R,John McCain,6
2008,Nebraska,2,R,John McCain,5
2009,Nebraska,1,R,John McCain,19
2010,Nebraska,1,D,Barack Obama,6
2008,Nebraska,1,R,John McCain,40
2008,Nevada,5,D,Barack Obama,18
2008,New Hampshire,4,D,Barack Obama,3
2008,New Jersey,15,D,Barack Obama,25
2008,New Mexico,5,D,Barack Obama,9
2008,New York,31,D,Barack Obama,9
2008,North Carolina,15,D,Barack Obama,27
2008,North Dakota,3,R,John McCain,4
2008,Ohio,20,D,Barack Obama,10
2008,Oklahoma,7,R,John McCain,4
2008,Oregon,7,D,Barack Obama,14
2008,Pennsylvania,21,D,Barack Obama,44
2008,Rhode Island,4,D,Barack Obama,7
2008,South Carolina,8,R,John McCain,3
2008,South Dakota,3,R,John McCain,16
2008,Tennessee,11,R,John McCain,14
2008,Texas,34,R,John McCain,6
2008,Utah,5,R,John McCain,13
2008,Vermont,3,D,Barack Obama,3
2008,Virginia,13,D,Barack Obama,3
2008,Washington,11,D,Barack Obama,10
2008,West Virginia,5,R,John McCain,3
2008,Wisconsin,10,D,Barack Obama,13
2008,Wyoming,3,R,John McCain,7
2008,Washington DC,3,D,Barack Obama,68
